serial number,P.O. number,Company,date of order,ship date,Comments,inv number,Unknown
,9814,,12/31/2015,1/6/2016,,,
1601501,9819,,1/4/2016,1/13/2016,,,
1601601,9825,,1/4/2016,1/8/2016,,,
1601502,9833,,1/5/2016,1/15/2016,,,
1601503,9835,,1/5/2016,1/12/2016,,,
1601504,9864,,1/12/2016,1/15/2016,,,
1601701,9887,,1/25/2016,1/27/2016,,,
1601602,9913,,2/3/2016,2/8/2016,,,
1602603,9932,,2/11/2016,2/17/2016,,,
1602604,9953,,2/19/2016,2/23/2016,,,
1602605,9956,,2/22/2016,2/26/2016,,,
1602606,9960,,2/23/2016,2/26/2016,,,
1602505,9974,,2/26/2016,2/29/2016,,,
1602506,9981,,2/29/2016,3/2/2016,,,
1603607,10022,,3/10/2016,3/11/2016,,,
1603507,10031,,3/11/2016,3/16/2016,,,
1603702,10044,,3/15/2016,3/17/2016,,,
1603703,10049,,3/16/2016,3/17/2016,,,
1603608,10050,,3/16/2016,3/21/2016,,,
1603508,10066,,3/18/2016,3/22/2016,,,
1603509,10089,,3/28/2016,3/30/2016,,,
1603510,10119,,4/6/2016,4/26/2016,,,
1604511,10134,,4/12/2016,4/18/2016,,,
1604704,10138,,4/13/2016,4/19/2016,,,
1604512,10147,,4/18/2016,4/21/2016,,,
1604609,10149,,4/18/2016,4/28/2016,,,
1604611,10183,,4/22/2016,4/26/2016,,,
1604706,10184,,4/22/2016,5/3/2016,,,
1605612,10208,,4/26/2016,5/6/2016,,,
1604610,10200,,4/29/2016,5/10/2016,,,
1605707,10215,,5/3/2016,5/6/2016,,,
1605613,10222,,5/4/2016,5/10/2016,,,
1605614,10225,,5/4/2016,5/18/2016,,,
1605708,10229,,5/5/2016,,,,
1606701p,10230,,5/5/2016,,,,
1605615,10237,,5/6/2016,5/18/2016,,,
1605615,10327,,5/6/2016,,,,
1605616,10283,,5/17/2016,5/23/2016,,,
1605513,10290,,5/20/2016,5/25/2016,,,
1605617,10302,,5/23/2016,5/27/2016,,,
1605618,10309,,5/24/2016,7/28/2016,,,
1606619,10326,,5/31/2016,6/10/2016,,,
1606601mp,10329,,6/1/2016,7/26/2016,,,
1606620,10332,,6/2/2016,6/10/2016,,,
1606801p,10333,,6/2/2016,kim wilde,,,
1606601mp,10345,,6/7/2016,7/18/2016,,,
1606621,10347,,6/8/2016,6/23/2016,,,
1606514,10351,,6/9/2016,6/23/2016,,,
1606709,10356,,6/10/2016,6/28/2016,,,
1606802p,10376,,6/14/2016,delivered 7/11/16,,,
1606803p,10378,,6/15/2016,7/29/2016,,,
1606602p,10379,,6/15/2016,7/22/2016,,,
1606622,10380,,6/15/2016,6/28/2016,,,
1606602mp,10415,,6/30/2016,8/9/2016,,,
1607623,10436,,7/8/2016,7/15/2016,,,
1607502mp,10424,,7/20/2016,7/18/2016,,,
1607702p,10468,,7/20/2016,not shipped ,,,
1607515,10470,,7/20/2016,7/26/2016,,,
1607623,10480,,7/26/2016,7/29/2016,,,
1607624,10489,,7/28/2016,8/9/2016,,,
1607503mp,10491,,7/28/2016,8/30/2016,,,
1607604mp,10493,,7/29/2016,8/30/2016,,,
1608515,10525,,8/8/2016,8/12/2016,,,
1608603p,10527,,8/8/2016,9/1/2016,,,
1608625,10528,,8/8/2016,8/12/2016,,,
1608804p,10545,,8/10/2016,9/16/2016,,,
1608626,10562,,8/18/2016,8/30/2016,,,
1608703p,10575,,8/19/2016,9/14/2016,,,
1608516,10593,,8/26/2016,8/31/2016,,,
1608710,10605,,8/31/2016,9/9/2016,,,
1609711,10610,,9/2/2016,9/9/2016,,,
1609605mp,10615,,9/6/2016,9/26/2016,,,
1609704p,10627,,9/7/2016,9/21/2016,,,
1609517,10629,,9/8/2016,9/16/2016,,,
1609627,Erin,,9/8/2016,,,,
1609805p,10636,,9/12/2016,9/30/2016,,,
1609628,10655,,9/15/2016,9/21/2016,,,
1609504mp,10670,,9/16/2016,,,,
1609519,10687,,9/21/2016,9/30/2016,,,
1609629,10689,,9/22/2016,9/30/2016,,,
1609518,10702,,9/27/2016,10/13/2016,,,
1609705p,10705,,9/28/2016,,,,
1610606mp,10729,,10/6/2016,10/14/2016,,,
1610712,10753,,10/18/2016,10/21/2016,,,
1610630,10774,,10/25/2016,10/28/2016,,,
1610607mp,10778,,10/25/2016,11/7/2016,,,
1610806p,10782,,10/26/2016,11/11/2016,,,
1610631,10787,,10/27/2016,11/7/2016,,,
1611604p,10801,,10/31/2016,11/22/2016,,,
,10817,,11/4/2016,11/23/2016,,,
1611519,10819,,11/7/2016,11/11/2016,,,
1611609mp,10822,,11/7/2016,11/23/2016,,,
1611632,10787,,11/9/2016,11/14/2016,,,
1611633,10868,,11/23/2016,11/30/2016,,,
1611713,10876,,11/28/2016,11/30/2016,,,
1611634,10879,,11/28/2016,11/30/2016,,,
1612608mp,10905,,12/5/2016,12/12/2016,,,
1612635,10945,,12/15/2016,12/19/2016,,,
1612522,10958,,12/19/2016,Void,,,
1612610mp,10958,,12/19/2016,void,,,
1612706p,10958,,12/19/2016,void,,,
1612521,10962,,12/20/2016,12/22/2016,,,
1701601,10980,Premier,1/2/2017,1/11/2017,Tongue and right edger,,
1701602,10981,Premier,1/2/2017,1/11/2017,Left edger,,
,6,Premier,1/2/2017,1/11/2017,edger left hand,,
1701501,12,Premier,1/3/2017,,for videos. Tongue and left edger,,
1701601mp,13,Premier,1/3/2017,,For videos,,
1701702P ???,13,Premier,1/3/2017,,For videos,,
1701603,20,Premier,1/3/2017,1/11/2017,Tongue and left edger,,
1701701,10985,Premier,1/5/2017,,Basic,,
,50,Premier,1/10/2017,,roller,,
1701502,59,Premier,1/11/2017,1/17/2017,"groomer,tongue,left edger",,
1701602mp,63,Premier,1/12/2017,1/13/2017,mini pro,,
1701501mp,66,Premier,1/12/2017,1/23/2017,mini pro,,
,67,Premier,1/13/2017,,right edger and bearings,,
1702702,115,Premier,2/8/2017,2/13/2017,groomer and edger,,
1702701p,139,Premier,2/17/2017,2/20/2017,,,
1703503,164,Premier,3/1/2017,3/6/2017,groomer and jack and tines,,
1703703,170,Premier,3/3/2017,3/9/2017,groomer and jack and right edger,,
,183,Premier,3/7/2017,,"roller, bearngs, bearing hangers, and points",,
1703502MPs,211,Premier,3/14/2017,,special mini pro for Heidi ,,
1703504,192,Premier,3/15/2017,3/15/2017,,,
1703702P,214,Premier,3/15/2017,3/27/2017,pro,,
1703505,215,Premier,3/15/2017,,,,
1703505,229,Premier,3/22/2017,3/27/2017,standard with tongue,,
1703604,233,Premier,3/23/2017,3/27/2017,standard with r.h. Edger,,
----,237,Premier,3/23/2017,,"6' roller,bearings, and roller",,
1703704,257,Premier,3/28/2017,4/3/2017,7' w/right edger,,
1704605,272,Premier,3/31/2017,4/5/2017,6' w/ tongue and r.h. edger,,
1704503mp,276,Premier,4/3/2017,4/7/2017,5 minipro ,,
1704703p,284,Premier,4/6/2017,4/7/2017,pro,,
1704606,291,Premier,4/10/2017,4/11/2017,6' standard,,
1704705,317,Premier,4/21/2017,,7' standard tongue and left edger,,
1704601P,336,Premier,4/26/2017,5/3/2017,6' pro,,
1705706,1,Northwest ind,5/1/2017,5/3/2017,7' standard,,
1705504MP,350,Premier,5/2/2017,5/12/2017,5' mini pro,,
1705505MP,362,Premier,5/4/2017,5/16/2017,5' mini pro,,
1705607,367,Premier,5/9/2017,5/12/2017,6' standard edger left,,
,368,Premier,5/9/2017,,Bolts/Points/2 right edgers,,
,372,Premier,5/10/2017,,Bolts/Points,,
1610606MP,382,Premier,5/15/2017,5/16/2017,Mini Pro 6',,
1705608,397,Premier,5/17/2017,5/22/2017,6' standard edger right,,
,402,Premier,5/18/2017,,"1"" Pillow Block (bearing) ",,
,407,Premier,5/19/2017,,Bolts/nuts/points/stines,,
1705602p,410,Premier,5/19/2017,,6' pro warranty Josie Bowman,,
1705609,2,Northwest,5/20/2017,,6' standard,,
1705506,2,northwest,5/20/2017,,5' standard with tongue,,
1705707,2,northwest,5/20/2017,,7' standard,,
1705602MP,422,Premier,5/24/2017,,6' mini pro,,
1705610,426,Premier,5/25/2017,,6' standard tongue,,
1706707p,465,Premier,6/12/2017,,7' pro for stock,,
1706505mp,465,Premier,6/12/2017,,5' mini pro for stock,,
1701611,999,OMC,6/14/2017,,6' standard with tongue,,
1706506mp,475,Premier,6/15/2017,,5' mini pro,,
1706607mp,498,Premier,6/23/2017,,6' mini pro,,
1606505mp,579,Premier,7/1/2017,,5' mini pro,,
1707612,530,premier,7/5/2017,,6' standard with edger and tongue,,
1707801P,535,Premier,7/6/2017,,8' pro,,
,570,Premier,7/20/2017,,point and bolts,,
1707507,580,Premier,7/21/2017,,5' standard with tongue and edger,,
1707613,584,Premier,7/21/2017,,6' standard,,
1708507MP,625,Premier,8/8/2017,,5' mini pro,,
1805704P,646,Premier,8/16/2017,5/11/2018,7' Pro,100439,
1708508,659,Premier,8/18/2017,,5' standard,,
1708708,999,3D,8/20/2017,,7' standard  Chris Riedle 208 659 6876,,
1708802p,668,Premier,8/22/2017,,8' pro,,
1708801,999,3d,8/24/2017,,8' standard with left edger  Jason Anderson ,,
1709508mp,710,Premier ,9/6/2017,, 5' mini pro,,
1709803P,718,Premier ,9/8/2017,,8' pro,,
1709509MP,723,Premier,9/13/2017,,5' mini pro,,
1709614,730,Premier,9/18/2017,,6' Standard,,
1709510MP,733,Premier,9/19/2017,,5' Mini Pro,,
1709603P,744,Premier,9/21/2017,,6' Pro,,
1709709,745,Premier,9/21/2017,,7' Standard w/ tongue and left edger,,
1709710,758,Premier,9/27/2017,,7’ standard w/ tongue,,
1710604P,768,Premier,9/29/2017,,6' Pro,,
1710509,779,Premier,10/4/2017,,5' Standard w/ tongue and left edger (warranty),,
1710615,812,Premier,10/13/2017,,6’ standard w/ tongue and left edger,,
1710708P,821,Premier,10/18/2017,,7’ pro,,
1710616,822,Premier,10/18/2017,,6’ standard w/ tongue and left edger,,
1710709P,827,Premier,10/19/2017,,7’ pro,,
1710617,843,Premier,10/24/2017,,6' Standard w/ tongue,,
1711605P,866,Premier,11/6/2017,11/13/2017,6' Pro,,
1711606P,867,Premier,11/6/2017,11/14/2017,6' Pro,,
1711711,883,Premier,11/9/2017,11/13/2017,7' standard,,
1711511MP,893,Premier,11/14/2017,,5' Mini Pro (Stock from P.O. 646),,
1711710P,900,Premier,11/16/2017,11/22/2017,7' Pro,,
1711510,911,Premier,11/20/2017,12/12/2017,5' Standard W/ left edger,,
1711618,924,Premier,11/22/2017,11/29/2017,6' Standard w/ tongue and right edger,,
1805602MP,946,Premier,11/27/2017,5/1/2018,6' Mini Pro,100494,
1711608MP,945,Premier,11/28/2017,11/29/2017,6' Mini Pro (Stock from P.O. 646),,
1712609MP,952,Premier,12/4/2017,12/13/2017,6' Mini Pro,,
,10923,1612520,12/9/2017,,,,
1712711P,983,Premier,12/13/2017,1/4/2018,7' Pro,,
1711512MP,985,Premier,12/13/2017,12/20/2017,5' Mini Pro,,
1712619,1002,Premier,12/19/2017,12/21/2017,6' Standard w/ Tongue and Right Edger,,
1801801P,1012,Premier,12/28/2017,1/10/2018,8' Pro,100483,
1801501MP,1013,Premier,12/29/2017,1/10/2018,5' Mini Pro,100484,
1803501,1052,Premier,1/11/2018,3/5/2018,5' Standard (Stock),100486,
1803702,1054,Premier,1/11/2018,3/5/2018,7' Standard (Stock),100488,
1803604,1053,Premier,1/11/2018,3/23/2018,6' Standard (Stock),100487,
1801802P,1074,Premier,1/23/2018,1/26/2018,8' Pro,100490,
1801701P,1081,Premier,1/24/2018,1/31/2018,7' Pro,100491,
1802601,1095,Premier,1/31/2018,2/15/2018,6' Standard w/Tongue and Right Edger,100495,974756
1804703,2,Kim Wilde,1/31/2018,4/23/2018,7' Standard w/tongue and right/left edgers (Black),100492,974767
1805803P,1130,Premier,2/7/2018,5/23/2018,8' Pro,100499,974757
1805502MP,1131,Premier,2/7/2018,5/1/2018,5' Mini Pro,100500,974756
1802602,1129,Premier,2/15/2018,2/22/2018,6' Standard w/Tongue and Right Edger,100501,974760
1802603,1141,Premier,2/20/2018,2/27/2018,6' Standard,100502,974762
1803502,1053.4,Premier,3/20/2018,28-Mar,5' Standard w/Tongue and Right Edger,100513,974763
1803605,1053.5,Premier,3/20/2018,3/28/2018,6' Standard,100514,974763
